Index,Text,Score
0,"Useful once you want cloud and some toher stuuf, but lacks any help in getting started",1
1,Any price is too high for Microsoft Office,1
2,Amazon suggested this item when I bought a new ASUS,0
3,"Only problem, this is 32-bit and the ASUS is 64-bit",-1
4,"I had to return it and now won't benefit from adding it on to the comp, thus reducing the price",-1
5,"Thanks for nothing, Amazon (and Microsoft for being difficult; seriously, Windows 10 is the worst)",-1
6,perfect,1
7,"The product didn't work I had to call Microsoft  and they installed for me and it cost 400 something dollars so I can amazon sell it for cheaper unless the product is fake and people are begin con out of there money, rating sucky",-1
8,Wish the licence would last longer than just one year,-1
9,$100 every year seems a bit ridiculous considering a few years ago you could get Office 2010 Home for around $120 (though that only included a licence for a single PC),-1
10,Installation was more difficult than it needed to be,-1
11,Further problems with Microsoft 365 Word,-1
12,Do not try to write macros,-1
13,Macros in earlier versions of Word work fine,-1
14,"For some reason macros for earlier versions do not work, and if you write a macro that has anything to do with Find/Replace, it will not behave in a similar fashion to earlier versions",-1
15,"This is partly because the people who designed 365 assume users of no particular skill, who are content to use Word just the way it comes out of the box",-1
16,"In other words, Word 365 is more automated, less kindly about those who want to tailor it to do specialized functions",1
17,I'm sure that people who are conversant in Visual Basic will have better luck,0
18,"I am not, and will go back to an earlier version of Word (Everything up to 2010 worked perfectly",-1
19,")

Again (check below for more), there is little I can discover in Word 365 that warrants a subscription",-1
20,"That you are renting it year by year, from my point of view, is just another Microsoft scam",-1
21,I would strongly recommend anyone who has used earlier versions of Office (probably up to 2007 for PC) to stick with the older versions,-1
22,"Although I am still in the free trial period, I find Office 365 Word the most bloated, difficult to use, counterintuitive program of any writing program I have ever used",-1
23,"I think what the designers had in mind was the ultimate ""automated"" program possible--imagine a car with swerve control, automatic parallel parking, object detection, automatic braking",-1
24,That is what 365 Word is,0
25,The ribbon by itself hoards the screen,0
26,"Though retractable, you will not easily be very productive as you will be spending most of your time searching for the functions that, as far as I know were available in the classic menu in the version previous to 2010",0
27,The program is so fully automated that it is human proof,0
28,"There might be workarounds, but I have as of yet been able to work with its newly designed ""styles"" which they splash across the screen as if, writing were nothing more than prettifying your page",0
29,"My sense is that the programmers are ""peachy proud"" of all the new features they have built into this mayhem",-1
30,"You can, of course, after you pay Microsoft for your annual prescription, buy downloadable ""classic menu"" software--that too will cost you, and then, you can buy book, reference books that you can read late into the night",0
31,My question would be why would anyone put money out for a program that is as difficult as learning a new language,-1
32,And why would a user of  Word all the way back to the '97 version have to dedicated so very much time to relearning what is meant to perform the simple function of writing,0
33,Perhaps you have the time,0
34,I'm going back to the 2003 version,-1
35,"I have since added the classical menu, courtesy of [",0
36,"] I am still in the 15 day free trial period, but the classical drop-down menu does improve the ease of use of Word 365",1
37,The Classical Menu software even has a couple of functions that are not listed in the ribbon menu,1
38,I have updated my rating for 365 to two stars,-1
39,Still a difficult program for us long time users who used to enjoy the transparency of the older versions,-1
42,"Again, I would warn the user of earlier versions to expect the unexpected",0
43,"Since I last updated this review, two strange factors  have occurred",-1
44,"First, Word 365 stripped out macros I wrote in my desktop (I followed instructions, went to options/trust/and enabled all macros)",-1
45,It worked on my laptop but not my desktop,-1
46,"Second, for reasons unknown to me, suddenly Word 365 started saving my docx in 365 format and not 93-97",-1
47,"More strange, if you go to your folders from 365, it won't show anything but your 365 formats",-1
48,This is not true if you go to your microsoft windows view,-1
49,"Also, I wish to note, that Word, if like me, you have Windows 7 and only 8 gig ram, 365 programs are as slow as molasses in Vermont in the dead of winter",-1
50,Adding to its slowness is a splash page inbetween what used to be the relatively simple operation of saving your file,-1
51,"First you have to go to a file screen, then to save or save as or browse, or, etc",0
52,"The file splash screen is  more aesthetic than functional and again shows the programmers of 365 to be more interested in ""pretty"" over ""efficient",1
53,"""
I do not think overpriced 365 will last",0
54,"Libra Office, which I had thought lacked a decent outline format (like Word) now has one, and even an add-on program, Organum",0
55,I am  probably trying the patience of anyone who wants to take in a simple thumbs up or thumbs down,0
56,"Another defect I discovered in Office Word 365 is that there is no option to create a backup copy of your documents with a ""save",-1
57,""" You can use Options, Advanced to save a backup copy, but it saves your file in the ""Roaming"" folder (if your hard drive goes, your backup goes)",1
58,"Of course, you can use the Cloud, but that too is a separate operation",-1
59,"As with the Classic Menus, you have to buy a special software program if you want to streamline your save procedure",-1
60,This is the deal Microsoft made with the devil,-1
61,Pay us the subscription cost for our bloated program,0
62,"If you want our program to work for you, well, you''ll have to buy add-on programs",0
63,"Code was invalid per Microsoft, Amazon is refunding because they do not have replacement in stock",-1
64,The extra cloud storage makes this worth the purchase,1
65,"Kinda bummed though that you know have to ""lease"" Office from year to year",0
66,Now I have a yearly update I have to buy or they turn it off,0
67,"Would be great for a buisness but for personal use on home computers just to much
to expect a yearly fee",2
68,Fast and as described,1
69,It was easy to load but i thought it was for a year,2
70,Once it got here it said 6 months,0
71,The sticker on this product did not come off the package and it was useless,-1
72,I had my IT guy install all the software on our new Surface Pro 4s so I can't speak to that,0
73,The conversion of old files was easy for me,0
74,I don't know how the $$$costs will compare when the first year license expires,0
75,This will be our first experience with not using the same version of Office for 4 or more years between upgrades,0
77,I don't think it is much better than Office 2007,-1
78,"In some ways, it isn't better",-1
79,"Worked great, saved $20, will buy again",1
80,A good deal for the five PCs I've loaded it on,1
81,I'm using more of the features and enjoying them more,1
82,Love the light weight and overall sleek look as well as the screen,1
83,The processing speed is average,0
84,The chief complaint is the location of the power button - I constantly hit it accidentally when trying to hit delete,0
85,Maybe the keyboard layout is to meant to imitate MacBooks but it is super annoying,-1
86,Would recommend designing a power button that needs more force to press down or just place it elsewhere on the machine,0
87,Also not a fan of the Mac style mouse pad,-1
88,would rather have actual right and left mouse buttons but getting used to it,0
89,This was a great deal and keeps Microsoft from auto deducting payment from my accounts,1
90,Best deal in software all around,1
91,I like the price and it arrived quickly,1
92,"was recommended to purchase with a chrome book, not compatible with chrome book",2
93,The software is great,1
94,Works great,1
95,Worked like a charm,1
96,Works great,1
97,Perfect and great value,1
98,I would recommend this seller,1
99,When I tried to install the program I was told there was a problem,-1
100,"I cannot remember what it exactly was, so I called the installation support number on the back of the card",0
102,After he had worked for some time trying to install Office 365 he informed me that I had some malware (Zeus) on my computer which was the reason that Office 365 could not be installed,0
103,"He told me that someone else in his company could fix the problem, he would transfer me",0
104,The next technician (American?) said he could fix it but this would cost money which I had expected,-1
105,He offered me a yearly service contract for $150,0
108,He tried to talk me into a multi year contract which I refused,0
109,When I attempted to pay with my credit card the charge was refused by the bank,0
110,The same result with my second credit card,0
111,"The technician told me I should call my bank ""but not tell them it was for a computer company""",0
112,"The charge finally was accepted and he started  working on my computer which I could follow, though not understand, on my monitor",0
113,After about three hours of activity the first  technician called and told me that everything worked now and Office 365 was installed,0
114,So far so good,1
115,Next day I got the invoice from SINGH TECH for $170,0
116,A few hours later I received an e-mail with a fraud alert from my second credit card that they had denied a suspicious charge of $170,0
118,I have only received a customer code and a telephone number from the first technician,0
119,"My computer, after I upgraded to Win 10, started freezing up occasionally ( about once a day), a nuisance but since it was rare I accepted it",-1
120,"The equipment is some years old, it still works but I cannot get drivers for Win 10 anymore",2
121,"Now, after the installation of Office 365 and the ""removal of malware""  it freezes up several times a day",-1
122,I have to do a hard shut-down with the power button and  a start to get it going again,0
123,"The Office 365, at least what I have used so far, seems to be working ok",1
124,"I tried to Google SING TECH (in Baltimore as per their e-mail invoice) which was not so easy to find; what I found were a few web sites asking if the company was ""legit or a fraud"", another one complaining about  having been told he had a virus etc",0
125,Right now I'm utterly confused,0
126,I have not called them but will do soon,0
127,"Saved $20 bucks, if you want to renew the then this is an excellent option",1
128,I use office 365 daily and I find the cost worth it when you factor in the online storage,1
129,The reason for only 4 stars is that you can use this code to extend an online subscription if you have a credit card  setup for payment and your account is past due,0
130,Our CC for my subscription was no longer valid and our O365 account became past due,0
131,I bought this card to extend the subscription and to save $25,0
132,I'm his did not work and about an hour of time with Office support led me to fixing the account by paying for the service and having the past due removed,0
133,"Once that was done I was able to add the card, and now my account is paid up for two years",0
134,It will be even better after I explore all its features!,0
135,"awkward, poor support",-1
136,$80 per year for 5 always up to date copies of the full MS Office suite and 5 Terabytes of cloud space?  How can you go wrong?  I recommend it to everyone,-1
137,I love how easy it all is,1
138,Trying the subscription method for the first time,0
139,Seems advantageous since I have multiple devices to download the software,1
140,"So instead of spending a $1000, I spend only about $90",0
141,"Hopefully, it will work out well",0
142,"Almost like buying or leasing a car; if leasing, at the end of the day I won't have a product to show for the money I spent but will continue to get new updated versions",2
143,"If buying, I won't have payments after the last but will still have the product",0
144,We'll see,0
145,The software is fine except for one item,2
146,"There is a question that asks if I would like to protect everything, if you choose ""yes"", it holds your opening default page hostage and Norton's page comes up",0
147,Didn't like that,-1
148,Had to google the information to turn off that feature,0
